x,y,u,v,w,current_cost,total_cost
61.25,80.0,10.91915,0.037861149999999996,-0.638298,169.33102079336825,169.33102079336825
62.5,80.0,10.893899999999999,0.0425124,-0.620571,169.0743737213088,338.405394514677
63.75,80.0,10.86045,0.03858379999999998,-0.605196,168.80865275824303,507.2140472729201
65.0,80.0,10.829049999999999,0.04210945,-0.5850154999999999,168.50922526311882,675.7232725360388
66.25,80.0,10.7881,0.03946985,-0.567021,168.173438166535,843.8967107025738
67.5,80.0,10.7483,0.0414616,-0.543939,167.81718490559487,1011.7138956081687
68.75,80.0,10.697349999999998,0.040340299999999996,-0.5225854999999999,167.39170542466366,1179.1056010328325
70.0,80.0,10.6459,0.0406281,-0.4956345,166.95646670994873,1346.0620677427812
71.25,80.0,10.581199999999999,0.0413042,-0.46974099999999996,166.41363725038022,1512.4757049931613
72.5,80.0,10.513749999999998,0.0394651,-0.43778249999999996,165.8738111357472,1678.3495161289086
73.75,80.0,10.43015,0.0425335,-0.40606699999999996,165.17746496000967,1843.5269810889183
75.0,80.0,10.3403,0.03822181,-0.3676425,164.49735569688997,2008.0243367858084
76.25,80.0,10.229849999999999,0.044293360000000004,-0.3283925,163.59876055813902,2171.6230973439474
77.5,80.0,10.107099999999999,0.0366538,-0.2818155,162.7284392553299,2334.351536599277
78.75,80.0,9.957505,0.046704899999999994,-0.233242,161.56312715447473,2495.914663753752
80.0,80.0,9.786064999999999,0.03459874999999999,-0.17588749999999997,160.44510284760065,2656.3597666013525
81.25,80.0,9.576854999999998,0.050089400000000006,-0.1156761,158.92877992853303,2815.2885465298855
82.5,80.0,9.330795,0.031948199999999996,-0.045798505,157.5023825287,2972.7909290585853
83.75,81.25,9.081765,0.29906,0.035246494999999996,147.2094417679504,3120.000370826536
85.0,82.5,8.88128,0.6796135000000001,0.1181305,147.71230380982038,3267.712674636356
86.25,83.75,8.750975,1.1782175000000001,0.18809199999999998,147.44211687588773,3415.1547915122437
87.5,85.0,8.421981347492197,1.5343062958963287,0.19625088060955131,148.91596583980584,3564.0707573520494
88.75,86.25,8.684289271025262,2.221568210626586,0.2654374231836433,145.73072780626094,3709.8014851583102
90.0,87.5,9.12123970516917,2.951457495184499,0.2741943543385734,141.48266016787264,3851.284145326183
91.25,88.75,9.741671178305733,3.4380351691864695,0.24299215886729114,136.31786840921842,3987.6020137354017
92.5,90.0,10.491642212607076,3.4206122305198736,0.2237972434350744,130.46139167397004,4118.063405409372
93.75,90.0,10.867287171883074,3.740141519520467,0.27675422034993713,150.81843237890163,4268.8818377882735
95.0,91.25,11.518370701858505,3.387207651763848,0.22321239568128237,121.33951667840645,4390.22135446668
96.25,91.25,12.039500218872405,3.413251383338874,0.25463438432067026,163.11213022334735,4553.333484690028
97.5,91.25,12.53594314513957,3.2593901132638856,0.2766360723358084,169.132789785026,4722.466274475054
98.75,91.25,12.871066328324808,2.9415494349424565,0.27071841540121505,174.32066346800605,4896.78693794306
100.0,91.25,13.245486104304751,2.6980849185850064,0.2991920002420137,179.98762420920434,5076.7745621522645
101.25,91.25,13.397113127802285,2.3235127610447392,0.3029451385636794,183.61982936625245,5260.394391518517
102.5,91.25,13.460623710196645,1.9458584562417274,0.29750594301045596,186.2624932949378,5446.656884813455
103.75,91.25,13.384440005019508,1.5803036405134177,0.2924906946354584,187.12231926855947,5633.779204082014
105.0,91.25,13.270179759531672,1.2318039504536098,0.2857806492506637,187.5243910004606,5821.303595082475
106.25,91.25,13.066727177364454,0.9317596906832425,0.2907936467915468,186.64511141594605,6007.948706498421
107.5,91.25,12.876999999999999,0.6203194999999999,0.29580850000000003,186.1801204764039,6194.128826974826
108.75,91.25,12.668299999999999,0.30955900000000003,0.29747450000000003,185.66792787171164,6379.796754846538
110.0,91.25,12.461300000000001,-0.0004592500000000013,0.29884849999999996,185.3836838653652,6565.180438711903
111.25,91.25,12.24785,-0.2924195,0.3023845,185.11587114519676,6750.2963098571
112.5,91.25,12.0271,-0.563289,0.29866550000000003,184.8275756697436,6935.123885526844
113.75,91.25,11.800149999999999,-0.8126475,0.279883,184.51884797418174,7119.642733501026
115.0,91.25,11.57085,-1.038755,0.24890649999999997,184.2009299406402,7303.843663441666
116.25,91.25,11.34095,-1.23217,0.219917,183.77963956662498,7487.62330300829
117.5,91.25,11.134699999999999,-1.3903750000000001,0.187355,183.41395789631403,7671.037260904604
118.75,91.25,10.9459,-1.51515,0.1529395,183.00242633756199,7854.039687242166
120.0,91.25,10.78305,-1.6125500000000001,0.1074018,182.63012819146905,8036.669815433635
121.25,91.25,10.636849999999999,-1.6901950000000001,0.051822099999999996,182.2578504854855,8218.92766591912
122.5,91.25,10.5071,-1.7521,-0.006799425,181.90082580072084,8400.828491719842
123.75,91.25,10.39245,-1.790495,-0.0615196,181.4405975954049,8582.269089315247
125.0,91.25,10.298735,-1.80958,-0.1136431,180.9485116341466,8763.217600949392
126.25,91.25,10.22358,-1.81165,-0.164577,180.41747055900942,8943.6350715084
127.5,91.25,10.164304999999999,-1.8024149999999999,-0.214336,179.88334642717444,9123.518417935575
128.75,91.25,10.122705,-1.7896100000000001,-0.262471,179.44108065982087,9302.959498595395
130.0,91.25,10.089185,-1.772945,-0.311294,179.01592704980706,9481.975425645203
131.25,91.25,10.06546,-1.75028,-0.3639495,178.5951771189191,9660.570602764123
132.5,91.25,10.04765,-1.72123,-0.422473,178.14731938917342,9838.717922153297
133.75,91.25,10.037855,-1.68925,-0.4847645,177.72611573086672,10016.444037884165
135.0,91.25,10.035915,-1.65659,-0.549036,177.35559815810942,10193.799636042275
136.25,91.25,10.041364999999999,-1.627415,-0.6161585,177.07803994198804,10370.877675984262
137.5,91.25,10.053185,-1.601045,-0.6822604999999999,176.87850071337695,10547.75617669764
138.75,91.25,10.068629999999999,-1.57252,-0.744363,176.68430129937929,10724.44047799702
140.0,91.25,10.086005,-1.53901,-0.8021024999999999,176.45414606160742,10900.894624058627
141.25,91.25,10.10405,-1.5050249999999998,-0.8558395000000001,176.22784287772518,11077.122466936351
142.5,90.0,9.913640000000001,-1.5560049999999999,-1.1952150000000001,561.8927228151641,11639.015189751515
143.75,90.0,9.96009,-1.52051,-1.24113,175.41649094097255,11814.431680692487
145.0,88.75,9.812125,-1.4666350000000001,-1.58293,550.2899042048076,12364.721584897296
146.25,88.75,9.894965,-1.4152550000000002,-1.6151,173.94667248705468,12538.66825738435
147.5,87.5,9.867535,-1.276005,-1.92926,543.0449766788979,13081.713234063249
148.75,86.25,9.91156,-1.0938750000000002,-2.2088650000000003,535.9724459620297,13617.685680025279
150.0,86.25,9.997035,-1.045895,-2.1863900000000003,171.23407375454335,13788.919753779823
151.25,85.0,10.056149999999999,-0.8445860000000001,-2.411225,531.6837198860737,14320.603473665897
152.5,85.0,10.1302,-0.8083205,-2.3761,170.13012853896402,14490.73360220486
153.75,83.75,10.23395,-0.5881235,-2.523995,529.2705723902822,15020.004174595142
155.0,82.5,10.3756,-0.3719675,-2.6322900000000002,527.0661252515372,15547.070299846679
156.25,82.5,10.4368,-0.35692999999999997,-2.580645,168.8272770458728,15715.897576892552
157.5,81.25,10.55895,-0.14983475,-2.622205,527.0270499095288,16242.924626802082
158.75,81.25,10.6069,-0.1455263,-2.56621,168.56456756133326,16411.489194363414
160.0,80.0,10.657350000000001,0.03515555,-2.534865,523.9141356173661,16935.40332998078
